"","Var1","Freq"
"596","Subgroup 10",30
"597","Sulfurifustis",1
"598","Sulfurivermis",2
"599","Sumerlaea",46
"600","Sutcliffiella",1
"601","SWB02",2
"602","Swionibacillus",2
"603","Symbiobacterium",2
"604","Syntrophomonas",2
"605","Taibaiella",28
"606","Taonella",1
"607","Tardiphaga",3
"608","Tautonia",7
"609","Telluria",4
"610","Telluribacter",3
"611","Tepidibacillus",1
"612","Tepidisphaera",1
"613","Terrabacter",2
"614","Terracoccus",1
"615","Terrimesophilobacter",1
"616","Terrimicrobium",28
"617","Terrimonas",33
"618","Tessaracoccus",1
"619","TG3",1
"620","Thalassiella",1
"621","Thalassobaculum",3
"622","Thermincola",6
"623","Thermomonas",2
"624","Thiobacillus",12
"625","TM7a",69
"626","Tolumonas",1
"627","Truepera",1
"628","Tsuneonella",1
"629","Tumebacillus",176
"630","Tundrisphaera",4
"631","Tychonema CCAP 1459-11B",1
"632","type III",13
"633","Tyzzerella",1
"634","UBA12409",1
"635","UBA12411",3
"636","Uliginosibacterium",1
"637","Umezawaea",1
"638","UTBCD1",4
"639","UTCFX1",4
"640","Vampirovibrio",6
"641","Variibacter",1
"642","Variovorax",19
"643","Verruc-01",1
"644","Verrucomicrobium",9
"645","Verrucosispora",1
"646","Verticiella",1
"647","Vicinamibacter",5
"648","Virgisporangium",1
"649","Vulgatibacter",37
"650","WCHB1-32",31
"651","Williamsia",2
"652","Xanthomonas",4
"653","Xenophilus",1
"654","Xylanibacillus",1
"655","Xylanimonas",1
"656","Xylophilus",14
"657","YC-ZSS-LKJ147",43
"658","Youhaiella",1
"659","Zhengella",3
